Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
981	Spectrogram 1	2	400.910	400.950	4000.0	18000.0	7031.2	Sd-peep	5.997109	6.200194	NaN	NaN	33.361828	0.000000
121	Spectrogram 1	5	416.530	416.570	4000.0	18000.0	14062.5	P-peep	1.470690	3.991408	0.068337	0.270617	28.387859	0.000000
122	Spectrogram 1	5	437.310	437.380	4000.0	18000.0	7226.6	Trill	4.063015	8.847690	3.272495	6.204130	50.915835	0.000000
123	Spectrogram 1	5	437.440	437.640	4000.0	18000.0	7421.9	Trill	3.943448	5.249024	1.370943	2.504153	30.136830	0.000000
124	Spectrogram 1	5	438.290	438.370	4000.0	18000.0	6250.0	Trill	7.318949	7.633980	0.750928	0.059050	48.615399	0.000000
125	Spectrogram 1	5	450.540	450.880	4000.0	18000.0	7421.9	Trill	3.905325	5.470781	1.990279	1.897260	37.864084	0.000000
126	Spectrogram 1	5	451.230	451.310	4000.0	18000.0	8984.4	Phee	5.900541	7.062456	1.947040	0.858087	52.996491	0.000000
127	Spectrogram 1	5	458.560	458.640	4000.0	18000.0	16406.2	Trill	3.686758	4.674704	0.783051	0.406617	33.176784	0.000000
982	Spectrogram 1	2	460.800	460.910	4000.0	18000.0	4882.8	Trill	10.860537	10.208414	NaN	NaN	28.094460	0.000000
128	Spectrogram 1	5	465.140	465.220	4000.0	18000.0	10937.5	Trill	3.310643	6.174189	0.154994	0.696861	42.475833	0.000000
129	Spectrogram 1	5	465.280	465.350	4000.0	18000.0	5468.7	Trill	2.283295	4.747297	1.004958	0.496017	30.679130	0.000000
130	Spectrogram 1	6	465.400	465.470	4000.0	18000.0	5078.1	Trill	3.637679	5.677720	-0.168106	0.563318	38.959143	0.000000
131	Spectrogram 1	6	465.650	465.720	4000.0	18000.0	7226.6	Trill	3.895496	5.492937	-0.072069	0.225717	40.083445	0.000000
132	Spectrogram 1	5	470.690	470.780	4000.0	18000.0	7617.2	Trill	3.535052	5.526440	1.038217	2.076360	38.871948	0.000000
133	Spectrogram 1	6	476.540	476.760	4000.0	18000.0	11132.8	Trill	2.507815	5.584869	-0.274660	0.200172	34.180520	0.000000
134	Spectrogram 1	5	476.860	476.900	4000.0	18000.0	10546.9	Trill	4.358605	4.207583	1.287012	-0.102078	34.060983	0.000000
135	Spectrogram 1	6	480.900	480.980	4000.0	18000.0	8007.8	Trill	5.742451	6.976655	-1.596009	2.794668	50.688633	0.000000
136	Spectrogram 1	6	481.020	481.070	4000.0	18000.0	8007.8	Trill	5.612869	6.152093	-0.975252	1.648279	38.288488	0.000000
137	Spectrogram 1	6	481.130	481.250	4000.0	18000.0	8398.4	P-peep	4.931934	6.143873	-0.216086	1.682719	42.684193	0.000000
138	Spectrogram 1	5	481.450	481.510	4000.0	18000.0	15429.7	Trillphee	3.136398	3.748827	0.473001	0.717669	31.399167	0.000000
139	Spectrogram 1	5	487.320	487.410	4000.0	18000.0	8007.8	Trill	7.058639	8.496405	2.016714	3.565786	58.209552	0.000000
142	Spectrogram 1	5	487.850	488.130	4000.0	18000.0	9179.7	Trillphee	3.679331	7.320792	0.585287	2.020233	46.153046	0.000000
143	Spectrogram 1	5	490.130	490.260	4000.0	18000.0	17382.8	Trill	5.752539	6.930693	0.938018	0.390400	50.489914	0.000000
144	Spectrogram 1	5	490.440	490.510	4000.0	18000.0	7617.2	Trill	7.865369	6.611283	1.447413	0.841835	52.546446	0.000000
939	Spectrogram 1	1	491.160	491.350	4000.0	18000.0	7031.2	Trill	4.854532	8.021525	NaN	NaN	58.880989	0.000000
940	Spectrogram 1	1	492.070	492.380	4000.0	18000.0	8203.1	Phee	5.150138	11.496720	NaN	NaN	85.761211	0.000000
941	Spectrogram 1	1	492.580	492.650	4000.0	18000.0	7812.5	Trill	5.173655	11.027051	NaN	NaN	70.585638	0.000000
145	Spectrogram 1	5	494.850	494.900	4000.0	18000.0	16210.9	Trill	3.359074	3.715101	1.669960	0.655528	30.298461	0.000000
146	Spectrogram 1	6	495.400	495.490	4000.0	18000.0	14453.1	Trill	6.683725	5.979669	-0.515971	-0.151303	33.941975	0.000000
147	Spectrogram 1	5	496.440	496.530	4000.0	18000.0	7421.9	Trill	6.737822	10.105976	0.504519	5.375447	60.331467	0.000000
148	Spectrogram 1	6	496.570	496.830	4000.0	18000.0	7226.6	Trill	5.816362	7.301548	-0.499484	2.201557	37.120552	0.000000
149	Spectrogram 1	5	502.310	502.360	4000.0	18000.0	16406.2	Trill	3.997250	5.245901	0.428678	0.384411	42.941342	0.000000
150	Spectrogram 1	5	510.280	510.560	4000.0	18000.0	8203.1	Trill	4.863344	6.087202	8.532136	1.563710	38.609429	0.000000
